,Nama,Total,Unit,Harga Per Item,Bulan,Di Tanggal,Weekend,Hari Libur,M1,M2,Hari,Quantity
0,CAT CHOIZE ADULT SALMON  ,20000,BABY CAT 12X195G  ,20000.0,1,7,1,0,0.49999999999999994,0.8660254037844387,5,1.0
1,"CAT CHOIZE ADULT TUNA 1KG, 20KG  ",38000,BABY CAT 12X195G  ,19000.0,1,7,1,0,0.49999999999999994,0.8660254037844387,5,2.18
2,CAT LITTER BOX SEMI JUMBO 55.5X45X16.5CM  ,130000,BABYCAT 4K  ,130000.0,1,7,1,0,0.49999999999999994,0.8660254037844387,5,1.0
3,CAT LITTER SHOVEL SMALL HOLE  ,10000,BABYCAT 4K  ,10000.0,1,7,1,0,0.49999999999999994,0.8660254037844387,5,1.0
4,CAT ME-O POUCH SALMON FLAVOR 15 X 4 SACHETS  ,44000,BABY CAT 12X195G  ,22000.0,1,7,1,0,0.49999999999999994,0.8660254037844387,5,2.0
5,CAT STIK FUNNY BULU  ,18000,BABYCAT 4K  ,18000.0,1,7,1,0,0.49999999999999994,0.8660254037844387,5,1.0
6,CAT STIK FUNNY FISH  ,18000,BABYCAT 4K  ,18000.0,1,7,1,0,0.49999999999999994,0.8660254037844387,5,1.0
7,CAT TOY FISH ELECTRIC  ,40000,BABYCAT 4K  ,40000.0,1,7,1,0,0.49999999999999994,0.8660254037844387,5,1.0
8,CESAR BEEF 100GR  ,65000,BABYCAT 4K  ,16250.0,1,7,1,0,0.49999999999999994,0.8660254037844387,5,3.93
9,CESAR LAMB 100GR  ,49000,BABYCAT 4K  ,16333.333333333334,1,7,1,0,0.49999999999999994,0.8660254037844387,5,2.94
10,CESAR PRIME BEEF W VEG 100GR  ,32000,BABYCAT 4K  ,16000.0,1,7,1,0,0.49999999999999994,0.8660254037844387,5,1.95
11,CHERMAN WET FOOD TUNA & SALMON 85GR  ,35000,BABYCAT 4K  ,7000.0,1,7,1,0,0.49999999999999994,0.8660254037844387,5,5.91
12,DOUBLE BOWL PLASTIC + BOTOL HR  ,35000,BABYCAT 4K  ,35000.0,1,7,1,0,0.49999999999999994,0.8660254037844387,5,1.0
13,DOUBLE BOWL PLASTIC FACE CAT  ,25000,BABYCAT 4K  ,25000.0,1,7,1,0,0.49999999999999994,0.8660254037844387,5,1.0
14,HAIR SKIN CARE 2 KG  ,310000,BABY CAT 12X195G  ,310000.0,1,7,1,0,0.49999999999999994,0.8660254037844387,5,1.0
15,KANDANG DOGGY 110 (110 X 80 X 95)  ,1180000,BABYCAT 4K  ,1180000.0,1,7,1,0,0.49999999999999994,0.8660254037844387,5,1.0
16,KANDANG HAMSTER 3 LANTAI + ATAP  ,180000,BABYCAT 4K  ,180000.0,1,7,1,0,0.49999999999999994,0.8660254037844387,5,1.02
17,KANDANG PREMIUM SENSEN UK 76 X 50 X 133  ,1100000,BABYCAT 4K  ,1100000.0,1,7,1,0,0.49999999999999994,0.8660254037844387,5,1.0
18,KETOVAR 10G  ,48000,BABY CAT MILK 300 GR  ,48000.0,1,7,1,0,0.49999999999999994,0.8660254037844387,5,1.0
19,KITTEN INSTINCTIVE  SECOND GRAVY 12 X 85 GR  ,38000,BABYCAT 4K  ,19000.0,1,7,1,0,0.49999999999999994,0.8660254037844387,5,2.18
20,LIFE CAT KITTEN TUNA 85G (POUCH)  ,24000,BABYCAT 4K  ,6000.0,1,7,1,0,0.49999999999999994,0.8660254037844387,5,4.22
21,MAKANAN TULANG 10 INCHES ( 1 PCS)  ,60000,BABY CAT 12X195G  ,60000.0,1,7,1,0,0.49999999999999994,0.8660254037844387,5,1.0
22,MAT PET PAWS SHAPE  ,35000,BABYCAT 4K  ,35000.0,1,7,1,0,0.49999999999999994,0.8660254037844387,5,1.0
23,MAXI ADULT 4KG  ,640000,BABYCAT 4K  ,320000.0,1,7,1,0,0.49999999999999994,0.8660254037844387,5,1.98
